繪圖紅樓夢卷一 ||| Họa đồ Hồng Lâu Mộng, quyển thứ nhất.
繪圖红樓夢卷一第六回 ||| Bức họa Hồng Lâu Mộng, quyển một, hồi thứ sáu.
三四 ||| Ba bốn
贸枣配回來滿除笑容的擡者鳳姐聽何指示那鳳姐只管慢慢__喫茶出了半日_神_忽然把臉一紅笑道罷了你_先去罷晚鈑後你來再說 ||| Phượng Thư cứ thong thả nhấp trà, rồi ngẩn người ra một lúc, bỗng mặt ửng hồng, cười bảo: "Thôi, cháu cứ về đi, cơm chiều xong lại đến, ta sẽ nói chuyện. Bây giờ đang có khách, ta không tiện nghĩ đến việc đó."
罷道會子有人我也没精神了賈蓉答應_個是抿着嘴兒一_笑方慢慢_退去這劉老老方安頓了便說道我今日帶了你姪兒不爲別的因 ||| Bãi thôi, ta cũng chẳng còn chút tinh thần nào nữa. Giả Dung đáp lời, mím môi cười rồi từ từ lui ra. Lưu bà bà sau khi đã yên vị liền nói: Hôm nay tôi đưa cháu đến đây không vì chuyện gì khác, chỉ vì...
__他参娘連喫的沒有天氣又冷________只得帶了你__姪兒奔了你老來說着又推板_兒道你_爹在家裏怎_麽敎你的打發僭們來作煞事的只顧喫 ||| Lão Lưu than thở rằng: "Cháu tôi ở nhà chẳng có gì ăn, trời lại lạnh giá, nên tôi đành phải đưa nó đến đây xin xỏ."
____菜子_鳳姐早巳明白了_聽他不會說話因笑_道不必說了我知道了因問周瑞家的道__這老老不知_用了早飯沒有呢劉老老忙道一早就 ||| Phượng Thư vốn đã hiểu rõ, nghe vậy liền cười nói: "Không cần nói nữa, ta đã biết cả rồi." Rồi quay sang hỏi bà Chu: "Bà Lưu đã dùng bữa sáng chưa?"
望道裏辉咧那裏還有喫飯的工夫咧鳳姐便命快傳飯來一時周瑞家的傳了一桌客__饌擺在東_屋_美過來帶了劉老老和板_兒過去__喫 ||| Thấy vậy Phượng Thư liền sai người dọn cơm. Chẳng bao lâu, bà Chu cho người bưng một bàn cơm thịnh soạn bày ở gian nhà phía đông, rồi mời già Lưu cùng thằng Bản sang đó dùng bữa.
飯鳳姐_這裏道周姐姐好生讓着些_兒我不能陪了_一面又叫過____周瑞家的來問道方繽回了太太太太怎麽說了周瑞家的道太太說他 ||| Phượng Thư liền bảo chị Chu rằng: “Chị hãy sang mời hộ, tôi không tiện tiếp khách”. Rồi lại gọi bà Chu đến hỏi: “Vừa rồi chị sang trình với bà, bà ấy nói sao?”
們原不是一家子當年他們的租和太老爺在一處做宫因連了宗的信幾年不大走動當時他們來了却也從沒空過的如今來瞧我們 ||| Họ vốn chẳng phải người một nhà, năm xưa tổ tiên hai nhà cùng làm quan một chỗ, nên mới nhận là thân thích. Đã mấy năm nay họ không qua lại thăm hỏi. Trước kia mỗi lần họ đến chơi, chưa từng về tay không. Nay họ đến thăm, cũng là có lòng tốt, chớ nên khinh rẻ người ta.
物是他的好意別簡慢了他要有什麽話叫二奶奶裁奪者就是了鳳姐聽了說道怪道旣是一家子我怎麽連影子也不知道說話間劉 ||| Ấy là ý tốt của bà, chớ nên khinh mạn. Nếu có điều chi, cứ bảo nhị nãi nãi định đoạt là được. Phượng Thư nghe vậy, bèn nói: Thảo nào là người một nhà, mà ta chẳng hay biết chút gì.
老老巳喫完了飯拉了板兒過來德脣哑嘴的道謝鳳姐笑道且請坐下聽我告訴你方纔你的意思我已經知道了論起親戚來原該不 ||| Lão bà ăn cơm xong, kéo ghế lại, miệng lắp bắp cảm tạ. Phượng Thư cười bảo: "Mời ngồi xuống, nghe ta nói đây. Lúc nãy ý bà thế nào, ta đã hiểu cả rồi. Xét về thân thích, vốn không nên...
等上門就有照應緣是但只如今家裏事情太多太太上了年紀一時想不到是有的我如今接着管事馆些親戚們又都不大知道况且 ||| Đợi đến khi người ta tự tìm đến cửa thì mới có sự chiếu cố, ấy cũng là lẽ thường tình. Chỉ có điều, hiện tại trong nhà quá nhiều việc, bà lớn tuổi rồi, nhất thời không nghĩ được hết mọi chuyện. Nay ta đang tiếp quản công việc, mà các thân thích lại không mấy ai hay biết, huống chi...
外面香着雖是烈列轟轟不知大有大的難處說給人也未必信你旣大遺的來了又是頭一遭兒和我張個口怎麽叫你空回去呢可巧 ||| Nhà tôi tiếng tăm bề ngoài lừng lẫy thực, biết đâu cũng còn nhiều việc khó khăn. Nói ra chưa chắc đã ai tin. Bà ở xa đến đây, lại lần đầu giãi bày câu chuyện, lẽ nào tôi để cho bà về không.
昨兒太太給我的了頭們作衣装的二十兩銀子還沒動呢你不嫌少先全了去用罷那劉老老先聽見告艱苦只當是沒想頭了又聽見 ||| Hôm trước, mẹ tôi có cho hai mươi lạng bạc để may quần áo cho người nhà, hiện vẫn chưa dùng đến. Nếu bà không chê ít, thì hãy cầm lấy mà tiêu tạm. Nghe bà than thở khó khăn, tôi cứ tưởng không còn hy vọng gì nữa, ai ngờ lại được cho bạc, thật là mừng rỡ khôn xiết.
給他二十兩銀子喜的盾開眼笑道我們也知道艱難的但只俗語說的瘦死的駱駝比馬還大呢憑他怎樣你老拔一根寒毛比我們的 ||| Ban cho bà hai mươi lạng bạc, bà ta mừng rỡ, mắt sáng lên, cười nói: "Chúng tôi cũng biết nhà ta giờ cũng khó khăn, nhưng tục ngữ có câu 'Lạc đà gầy vẫn hơn ngựa béo', dù sao thì nhà ta nhổ một sợi lông măng cũng hơn cả lưng chúng tôi rồi."
腰還壯哩周瑞家的在旁聽見他說的粗鄙只管使眼色止他鳳姐笑而不踩叫平兒把非兒那包銀子拿來再拿一串錢都送至劉老老 ||| Bà Chu đứng bên, nghe già Lưu nói nhiều câu tục tằn, phải đưa mắt bảo thôi. Phượng Thư cười, không để ý đến, sai Bình Nhi đem gói bạc ra và lấy thêm một quan tiền nữa để cả trước mặt già Lưu.
該問好的都問個好兒罷一面說一面就站起來了劉老老只是千恩萬謝的拿了銀錢跟着周瑞家的走到外邊周瑞家的道我的娘你 ||| Sau khi đã hỏi han mọi điều, Phượng Thư liền đứng dậy. Già Lưu tay cầm tiền, miệng không ngớt lời cảm tạ, rồi theo bà Chu ra về.
第七回送宮花賈璉戲熙鳳宴_寜府寶玉會秦鐘 ||| Lúc ấy, Tiết phu nhân sai người mang đến mười hai cành hoa lụa mới lạ, vốn là đồ trong cung ban thưởng, định chia cho các cô trong phủ. Bà dặn dò: ba cô nương mỗi người hai cành, còn lại sáu cành thì cho Lâm cô nương hai cành, Phượng cô nương bốn cành.
便出東角門過東院往梨香院來剛至院門前只見王夫人的了__嬛金釧__兒和那一個_纔留_頭的小女_孩兒站在_豪階_兒上頑呢看見周瑞 ||| Liền thấy Kim Xuyến, a hoàn của Vương phu nhân, cùng một a hoàn nhỏ mới búi tóc đang nô đùa trên thềm đá.
家的進來便知有話來回因往裏扳啮兒周瑞家的輕輕掀_簾進去_見王夫人正和薛姨媽長篇大套的說些家務人情__話周瑞家的不敢_______ ||| Người nhà bước vào liền biết có việc, bèn khẽ vén rèm vào trong. Thấy Vương phu nhân cùng Tiết di nương đang bàn chuyện nhà cửa, nhân tình thế thái.
驚動遂進裏間來只見薛寶釵__家常__打扮頭上只_挽着_鬢兒坐在炕_裏邊伏在___几上_和了_媛常_兒正在那裏描花樣子呢見他進來便放下 ||| Bà Chu bước vào nhà trong, thấy Tiết Bảo Thoa đang mặc đồ thường, đầu chỉ búi tóc đơn giản, ngồi bên cạnh bàn, cúi xuống cùng a hoàn Anh Nhi vẽ hoa.
_________筆轉過身_滿面堆笑讓周姐姐坐周瑞家的也忙陪笑問道姑娘好一面炕沿_邊坐了因說道有兩三天也沒見姑娘到那邊逛逛去只怕___________ ||| Bà Chu đến, Bảo Thoa liền bỏ bút, quay người lại, tươi cười mời rằng: "Mời chị Chu ngồi." Bà Chu vội đáp lời, hỏi han sức khỏe của Bảo Thoa.
是你寶兄弟冲撞了你不成寶釵笑道那_裹的話只因我那宗病又發了所以且靜養兩天周瑞家的道正是呢姑娘到底有什麽病根兒 ||| Bảo Thoa cười đáp, "Sao lại nói vậy? Chỉ vì bệnh cũ của tôi tái phát, nên phải tĩnh dưỡng vài ngày."
也該趁早請個大夫認眞醫治醫治小小的年紀兒倒作下個病根_兒也不是頑的呢寶釵_聽了_笑道再__別提__起這個病也不知請了多少 ||| Cũng nên sớm mời thầy thuốc đến xem xét, chữa trị cho dứt, tuổi còn nhỏ mà để bệnh kéo dài thì không hay, đâu phải chuyện đùa. Bảo Thoa nghe vậy, cười đáp: Thôi đừng nhắc đến chuyện bệnh tật nữa, đã mời không biết bao nhiêu thầy rồi.
大夫吃了多少藥花了多少錢總不見一點效驗兒後來還酒了一個和尙專治無名的病症因請他看了他說我這是從胎裏帶來的一 ||| Đã mời bao nhiêu thầy lang, tốn thuốc, tốn tiền, rút cục chẳng thấy hiệu nghiệm gì. Sau có một vị hòa thượng chuyên trị những bệnh không tên, không tuổi, tôi nhờ xem, người bảo tôi bị nhiệt độc từ khi ở trong thai, may mà tiên thiên tốt, nên không việc gì.
____________股熱毒幸而我先天壯還不相千_要是吃__九燕是不中用的他就說了個海上仙方兒又給了一包末華作引子異香異氣的他說犯了時 ||| Nàng kể rằng, trước kia trong thai đã nhiễm phải nhiệt độc, may nhờ có căn cơ trời phú nên không nguy hiểm đến tính mạng. Thuốc thang thông thường không có hiệu quả, sau có một vị cao tăng đã cho một phương thuốc gọi là "Hải thượng tiên phương", lại thêm một gói bột thuốc làm dẫn, mùi hương rất lạ.
吃一九就好了倒也奇怪____這倒效驗些周瑞家的因問道不知是_什___麽方_兒姑娘說了我們也好記着說給人知道要遇見這樣病也是行 ||| Uống một liều là đỡ ngay, kể cũng lạ thật, uống vào quả thấy hiệu nghiệm.
好的事寶釵笑道不問道方兒還好若問這方兒眞把人瑣碎死了東西藥材一槪却都有限最推得是可巧二字要春天開的白社丹花 ||| Bảo Thoa cười đáp, việc này chớ nên hỏi đến, nếu hỏi thì lại khiến người ta thêm phiền não. Các vị thuốc đều phải cân đo đong đếm cẩn thận, khó nhất là ở hai chữ "vừa khéo". Cần có mười hai lạng nhụy hoa mẫu đơn trắng nở vào mùa xuân.
_________________________蕊十二兩夏天開的白荷花蕊十二兩秋天的白芙蓉花蕊十二兩冬天_白梅花蕊十二兩將這西樣花芯於次年春分道一天曬乾和在 ||| Lại cần mười hai lạng nhụy hoa mẫu đơn trắng mùa xuân, mười hai lạng nhụy hoa sen trắng mùa hạ, mười hai lạng nhụy hoa phù dung trắng mùa thu, mười hai lạng nhụy hoa mai trắng mùa đông.
末藥一處一齊硏好又要雨水這日的_天落水十二錢周瑞家的_笑道梦呀這麻說就得三年的工夫呢倘或雨水這日不下雨可又怎麽 ||| Lại phải có mười hai đồng cân nước hứng giữa trời đúng vào ngày vũ thủy. Ôi chao! Mất ba năm mới thành thang thuốc!
着呢寶釵笑道所以_了那_裏有這_麽可巧的___雨也只好再等罷了還要白露這日的露水十二錢霜降這日的霜十二錢小雪道日的雪十______ ||| Bảo Thoa cười nói, còn phải đợi đến ngày Bạch Lộ mới có được mười hai đồng cân sương, ngày Sương Giáng mới có mười hai đồng cân sương, ngày Tiểu Tuyết mới có mười hai đồng cân tuyết.
二錢把道四樣水調勻了丸了龍眼大的九子咸在舊磁鐔裏埋在花根底下若發了病的時候兒孥出來吃一九用一錢二分黄柏前湯 ||| Lại thêm mười hai đồng cân mật ong, mười hai đồng cân đường trắng, đem viên thành viên to bằng quả nhãn, để vào trong hũ sứ cổ, chôn dưới gốc cây hoa. Khi nào phát bệnh thì lấy một viên ra dùng, sắc thêm một đồng hai phân hoàng bá làm thang uống.
送下周瑞家的聽了笑道阿彌陀佛眞巧死人了等十年還未必碰的全呢寶釵道竟好自他去後一二年間可巧都得了好容易配成一 ||| Bà Chu nghe vậy kinh ngạc thốt lên: "A di đà Phật! Thật là khéo đến chết người! Chờ đến mười năm nữa cũng chưa chắc đã tìm đủ các vị thuốc!" Bảo Thoa cười đáp: "Cũng may, sau khi vị hòa thượng kia đi độ một hai năm, vừa khéo tôi tìm đủ các vị để chế được một tễ thuốc này."
料如今從家裏帶了來現埋在利花樹底下周瑞家的又道這藥有名字沒有呢寶釵道有也是那和尙說的叫作冷香丸周瑞家的聽了 ||| Nay ta mang từ nhà lên, hiện chôn dưới gốc cây lê này. Bà Chu hỏi, thuốc ấy có tên không? Bảo Thoa đáp, có, vị hòa thượng kia đặt tên là Lãnh Hương Hoàn.
論在裏頭周瑞家的忙出_來答應了_便回了劉老_老之事略待半刻見王夫人無話方欲银出去薛姨媽忽又笑造你且站住我有一件康 ||| Bà Chu vội vàng chạy ra trình việc già Lưu, một lát sau, thấy Vương phu nhân không nói gì, bà định lui ra thì Tiết phu nhân cười bảo: "Chị hãy dừng chân, ta có việc này muốn nhờ chị mang đi hộ."
他們姐妹們戴去昨兒要送去偏又忘了你今兒來得巧就帶了去罷你家的三位姑娘每位兩枝下剩六枝送林姑娘兩枝那四枝給风 ||| Các tỷ muội của ta, hôm qua ta định mang tặng các nàng những cành hoa lụa này, nhưng lại quên mất. Hôm nay vừa khéo có chị đến, vậy xin nhờ chị mang đến giúp. Ba vị cô nương nhà chị, mỗi người hai cành, còn thừa sáu cành thì cho cô Lâm hai cành, cô Phượng bốn cành.
____________________________姐兒罷王夫人道留着給寶了頭戴也罷了又想着他們___薛姨媽道姨_太太不知_寶丁頭_怪着呢他從來不愛道些花_兒粉_兒的說着周瑞_____________________ ||| Vương phu nhân lại nói, sao không để cho Bảo Ngọc mà lại chia cho các cháu? Tiết di nương đáp, chị không biết đó thôi, thằng bé đó tính tình khác người, xưa nay có thích hoa phấn bao giờ đâu.
